article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
priya gold cookies coconut crunch 300g, gold cookies coconut crunch ,300g,priya,masala spices,grocery,flavor: coconut flavor: cookies, gold crunch ,"['gold', 'crunch']"
gallant ii cartridge twin blade 5p, cartridge twin blade ,5p,gallant ii,freshners repellents,home hygiene,, cartridge twin blade ,"['cartridge', 'twin', 'blade']"
pond s age miracle cell regen facial foam 100 g, ae miracle cell reen facial foam ,100 g,pond s,skin care,beauty personal care,, ae miracle cell reen facial foam ,"['miracle', 'cell', 'facial', 'foam']"
zorabian frz chicken spicy sausage 250g, frz chicken spicy sausage ,250g,zorabian,ready to eat,branded food,flavor: chicken flavor: spicy flavor: sausage, frz ,[]
parle bis simply good dig classic 100g, bis simply good dig classic ,100g,parle,biscuits cookies crackers,branded food,, bi imply good dig claic ,"['imply', 'good', 'dig']"
baker street toast crouton hrbd grl 100g, toast crouton hrbd grl ,100g,baker street,toys,toys stationery,flavor: crouton, toast hrbd grl ,['toast']
lemon honey kanti body cleanser 75 gm,lemon honey kanti cleanser m,75 g,body line,skin care,beauty personal care,type: cleanser type: honey flavor: honey flavor: lemon, kanti m,[]
aachi readymix curry pp 50g, readymix curry pp ,50g,aachi,masala spices,grocery,flavor: curry, readymix pp ,[]
aachi chicken tikka masala 50g, chicken tikka ,50g,aachi,masala spices,grocery,flavor: chicken flavor: tikka, ,[]
bhuira apple jeely cinnam 470, apple jeely cinnam 470,,bhuira,mineral water soda,beverages,flavor: apple, jeely cinnam 470,['470']
st.dalfour jam raspberry 284g, jam raspberry ,284g,st.dalfour,jams spreads honey,branded food,flavor: raspberry, jam ,['jam']
saffola act ck sp smering manchow pp 46g, act ck sp smering manchow pp ,46g,saffola,ready to eat,branded food,, act ck p mering manchow pp ,['act']
britannia cheese block 200g, cheese block ,200g,britannia,biscuits cookies crackers,branded food,flavor: cheese, block ,['block']
mother earth sona masoori rice 1kg, sona masoori ,1kg,mother earth,rice wheat other grains,grocery,, ona maoori ,[]
ektaa jaggery candy jr 200g, jaggery candy jr ,200g,ektaa,chocolates cakes confectioneries,branded food,flavor: jaggery flavor: candy, jr ,[]
desi atta moong pakora mix pp 200g, moong pakora mix pp ,200g,desi atta company,baking dessert mixes,branded food,flavor: moong flavor: pakora, mix pp ,['mix']
haldiram s diet chiwda namkeen 150g, diet chiwda namkeen ,150g,haldiram s,chips namkeens snacks,branded food,flavor: namkeen, diet chiwda ,['diet']
minute maid juice litchi tetra pack 1l, juice litchi tetra pack ,1l,minute maid,fruit juices drinks,beverages,flavor: juice flavor: litchi, tetra pack ,"['tetra', 'pack']"
minute maid juice guava tetra pack 1l, juice guava tetra pack ,1l,minute maid,fruit juices drinks,beverages,flavor: juice flavor: guava, tetra pack ,"['tetra', 'pack']"
dove soap fresh moisture beauty 75g, soap fresh moisture ,75g,dove,skin care,beauty personal care,type: soap, fresh moisture ,"['fresh', 'moisture']"
gullian chocolate sea shell 125gm,gullian sea shell m,125g,chocolate,chocolates cakes confectioneries,branded food,,gullian ea hell m,['hell']
desi atta thalipeeth mix pp 500g, thalipeeth mix pp ,500g,desi atta company,masala spices,grocery,, thalipeeth mix pp ,['mix']
dabur shmp vatika hr fl treatment 340ml, shmp hr fl treatment ,340ml,dabur vatika,stationery,toys stationery,, hmp hr fl treatment ,['treatment']
haldiram ni namk aloo lacha 100g, ni namk aloo lacha ,100g,haldiram s,chips namkeens snacks,branded food,flavor: aloo, ni namk lacha ,[]
badshah readymix dhansak bx 100g, readymix dhansak bx ,100g,badshah,toys,toys stationery,, readymix dhanak bx ,[]
monginis cake swiss roll chocolate 100g,monginis cake swiss roll ,100g,chocolate,chocolates cakes confectioneries,branded food,,mongini cake wi roll ,"['cake', 'roll']"
haldiram squash khus 700m, quah khu 700m,,haldiram s,chips namkeens snacks,branded food,, quah khu 700m,[]
haldiram mazedaar kissey 555g gp, mazedaar kiey p,555g g,haldiram s,chips namkeens snacks,branded food,, mazedaar kiey p,[]
g baker chocolate chip 300gm,g baker chip m,300g,chocolate,chocolates cakes confectioneries,branded food,,g baker chip m,"['baker', 'chip']"
g bakers pista khatai 300 gm, pista khatai m,300 g,g bakers,chocolates cakes confectioneries,branded food,flavor: pista, khatai m,[]
himalaya skin crm anti wrinkle 50g, crm anti wrinkle ,50g,himalaya,skin care,beauty personal care,, crm anti wrinkle ,"['anti', 'wrinkle']"
kwality walls vanilla 700 ml party pack, vanilla party pack,700 ml,kwality walls,ice cream desserts,branded food,flavor: vanilla, party pack,"['party', 'pack']"
nescafe milk ice latte tp 180ml, milk ice latte tp ,180ml,nescafe,tea coffee,beverages,flavor: milk, ice latte tp ,['ice']
pratha camphor bx 50g, camphor bx ,50g,pratha,toys,toys stationery,, camphor bx ,['camphor']
swiss tmp bdy ltn intn noursh bt 300ml, tmp bdy ltn intn noursh bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food,, tmp bdy ltn intn nourh bt ,['tmp']
sangis ktcn eggless mayonnaise pp 800g,sangis ktcn eggless mayonnaise pp ,800g,,jams spreads honey,branded food,type: mayonnaise flavor: eggless flavor: mayonnaise,sangis ktcn pp ,[]
sangis kitchen garam msla whole pp 100g, garam mla whole pp ,100g,sangi s kitchen,chocolates cakes confectioneries,branded food,, garam mla whole pp ,"['garam', 'mla', 'whole']"
fiama dw shower gel blkcrn&brb exdr 250m, dw shower gel blkcrn&brb exdr 250m,,fiama di wills,skin care,beauty personal care,type: shower type: gel, dw blkcrn&brb exdr 250m,[]
mapro chocolate fruity chew 200g,mapro fruity chew ,200g,chocolate,chocolates cakes confectioneries,branded food,flavor: fruity,mapro chew ,['chew']
philips oth disp cfl tornado 20w, oth disp cfl tornado 20w,,philips,toys,toys stationery,, oth dip cfl tornado 20w,"['oth', 'dip', 'tornado']"
act ii ipc tomato chilli 59g, ipc tomato chilli ,59g,act ii,chips namkeens snacks,branded food,flavor: tomato flavor: chilli, ipc ,['ipc']
britannia cheese sprd classic 180g, cheese sprd classic ,180g,britannia,biscuits cookies crackers,branded food,flavor: cheese, sprd classic ,['classic']
orange imported,orange imported,,mortein,tea coffee,beverages,flavor: orange color: orange, imported,['imported']
bhindi,bhindi,,heidi,chocolates cakes confectioneries,branded food,flavor: bhindi,,[]
patanjali herbal mehandi 100gm, herbal mehandi m,100g,patanjali,baby care,baby care,type: herbal, mehandi m,[]
patanjali aloevera orange juice 1l, aloevera orange juice ,1l,patanjali,fruit juices drinks,beverages,flavor: orange color: orange flavor: juice, aloevera ,[]
bru instant coffee 50g, instant ,50g,bru,tea coffee,beverages,, intant ,[]
loreal cond 6oil nourish scalp bt 175ml,loreal cond nourish scalp bt 175ml,6oil,,skin care,beauty personal care,,loreal cond nourih calp bt 175ml,[]
whisper sanpad ultra nights xxxl wing 3p, sanpad ultra nights xxxl wing ,3p,whisper,feminine care,beauty personal care,, anpad ultra night xxxl wing ,"['ultra', 'night', 'wing']"
bhuira tomato chutney 470g, tomato chutney ,470g,bhuira,sauces puree dips,branded food,flavor: tomato flavor: chutney, ,[]
pedigree chicken&vegatable adult poly pack 100g, chicken&vegatable adult poly pack ,100g,pedigree,pet care,home hygiene,, chicken&vegatable adult poly pack ,"['adult', 'poly', 'pack']"
pedigree petfood chk in jelly 400g, food chk in jelly ,400g,pedigree,pet care,home hygiene,flavor: jelly, food chk in ,['food']
pedigree pet food gravy style 100g, food gravy style ,100g,pedigree,pet care,home hygiene,flavor: gravy, food style ,"['food', 'style']"
garnier fw powerwhite dbl action men 50g, fw powerwhite dbl action men ,50g,garnier,skin care,beauty personal care,, fw powerwhite dbl action men ,"['action', 'men']"
dermicool talc lavender 150g,dermicool talc lavender ,150g,,stationery,toys stationery,type: talc color: lavender flavor: lavender,dermicool ,[]
weikfield cooker vanilla cake mx bx 175g, cooker vanilla cake mx bx ,175g,weikfield,chocolates cakes confectioneries,branded food,flavor: vanilla, cooker cake mx bx ,"['cooker', 'cake']"
mishrambhu liq conc rose sharbat 700m,mishrambhu liq conc ros 700m,,sharbat e shahi,otc,beauty personal care,,mihrambhu liq conc ro 700m,['conc']
weikfield cooker choco cake mix bx 175g, cooker choco cake mix bx ,175g,weikfield,baking dessert mixes,branded food,flavor: choco, cooker cake mix bx ,"['cooker', 'cake', 'mix']"
b natural juice guava gush tp 200ml, juice guava gush tp ,200ml,b natural,fruit juices drinks,beverages,flavor: juice flavor: guava, gush tp ,['gush']
sunkist juice mojito bt 750ml, juice mojito bt ,750ml,sunkist,fruit juices drinks,beverages,flavor: juice flavor: mojito, bt ,[]
weikfield dessertmix jelly orange 90g, dessertmix jelly orange ,90g,weikfield,tea coffee,beverages,flavor: orange flavor: jelly color: orange, dessertmix ,[]
ttrt nachos creamy cheese & herbs pp 60g,ttrt nachos creamy cheese & herbs pp ,60g,,chips namkeens snacks,branded food,flavor: cheese flavor: creamy flavor: herbs,ttrt nachos & pp ,['nachos']
eva sportz fitness deo - bounce 125ml, sportz fitness deo - bounce ,125ml,eva,deos perfumes,beauty personal care,, portz fitne deo - bounce ,"['deo', 'bounce']"
ttrt namkeen surprises 945g gp,ttrt surprises p,945g g,namkeen tree,chocolates cakes confectioneries,branded food,,ttrt urprie p,[]
j&j baby oil vitamin e 100ml,j&j oil vitamin e ,100ml,baby,baby care,baby care,,j&j oil vitamin e ,"['oil', 'vitamin']"
orbit gum sweetmint sugar free 8.8g,orbit gum sweetmint ,8.8g,sugar free,salt sugar jaggery,grocery,,orbit gum weetmint ,"['orbit', 'gum']"
desi atta roasted sooji rava pp 500g, roasted sooji rava pp ,500g,desi atta company,dry fruits,grocery,flavor: rava flavor: roasted flavor: sooji, pp ,[]
colgate tpaste active salt neem bx 100g, tpaste active salt neem bx ,100g,colgate,oral care,beauty personal care,type: neem, tpaste active salt bx ,"['active', 'salt']"
dove inner glow gentle exfoliating face wash cleanser 50 ml, inner glow gentle exfoliating face wash cleanser ,50 ml,dove,skin care,beauty personal care,type: exfoliating type: cleanser type: wash color: glow, inner gentle face ,"['inner', 'gentle', 'face']"
badshah readymix pani puri bx 50g, readymix pani puri bx ,50g,badshah,chips namkeens snacks,branded food,flavor: puri, readymix pani bx ,[]
monginis cake chocolate veg pp 100g,monginis cake veg pp ,100g,chocolate,chocolates cakes confectioneries,branded food,flavor: veg,monginis cake pp ,['cake']
"weikfield cooker cake mix, vanilla 100g"," cooker cake mix, vanilla ",100g,weikfield,baking dessert mixes,branded food,flavor: vanilla," cooker cake mix, ","['cooker', 'cake']"
sunkist mixed fruit jam 670g, mixed fruit jam ,670g,sunkist,jams spreads honey,branded food,flavor: fruit, mixed jam ,"['mixed', 'jam']"
b natural fruit juice punjab da kinnow 1l, juice punja da kinnow ,1l,b natural,fruit juices drinks,beverages,flavor: juice flavor: kinnow, punja da ,[]
kosh oats chinese chili 40g, oats chinese chili ,40g,kosh,breakfast cereals,branded food,flavor: chili flavor: oats, chinese ,['chinese']
bellie chocolate flavoured cream sandwich cream biscuit 190g,bellie flavoured cream sandwich cream biscuit ,190g,chocolate,biscuits cookies crackers,branded food,type: cream flavor: cream flavor: sandwich,bellie flavoured biscuit ,"['flavoured', 'biscuit']"
weikfield falooda mix mango 200g, falooda mango ,200g,weikfield,fun drink mix,beverages,flavor: falooda flavor: mango, ,[]
patanjali special chyawanprash 500g, special chyawanprash ,500g,patanjali,ready to fry,branded food,type: chyawanprash, special ,['special']
patanjali chocos 250g, chocos ,250g,patanjali,breakfast cereals,branded food,, choco ,[]
nilons cut mango pickle 300g,nilons cut pickle ,300g,three mango,pickles chutneys,branded food,flavor: pickle,nilons cut ,['cut']
nilons mango pickle 200g,nilons pickle ,200g,three mango,pickles chutneys,branded food,flavor: pickle,nilons ,[]
prabhat dahi 200 ml, dahi ,200 ml,prabhat,chocolates cakes confectioneries,branded food,flavor: dahi, ,[]
potato fresh,potato ,,soo fresh,chips namkeens snacks,branded food,flavor: potato, ,[]
apple fuzi,apple fuzi,,appy fizz,mineral water soda,beverages,flavor: apple, fuzi,[]
pomegranate,pomegranate,,the grannary,chocolates cakes confectioneries,branded food,flavor: pomegranate,,[]
bottle gourd,bottle gourd,,kettle studio,otc,beauty personal care,flavor: gourd,bottle ,['bottle']
mint,mint,,smint,chocolates cakes confectioneries,branded food,flavor: mint,,[]
cholai,cholai,,choki choki,toys,toys stationery,,cholai,[]
banana raw,baa raw,,ram bandhu,chips namkeens snacks,branded food,,baa raw,"['baa', 'raw']"
sarson sag,sarson sag,,sagar,toys,toys stationery,flavor: sarson, sag,['sag']
ttrt frozen snk veg supreme pizza pp 1p,ttrt snk supreme pizza pp ,1p,frozen,frozen veg,branded food,flavor: pizza,ttrt snk supreme pp ,['supreme']
tasty treat popcorn sea salt & pepper pp 35g, popcorn sea salt & pepper pp ,35g,tasty treat,frozen veg,branded food,flavor: pepper, popcorn sea salt & pp ,"['popcorn', 'sea', 'salt']"
tasty treat namk masala boondi pp 200g, namk boondi pp ,200g,tasty treat,masala spices,grocery,, namk boondi pp ,[]
tasty treat bhuna chana namkeen 200g, bhuna chana namkeen ,200g,tasty treat,frozen veg,branded food,flavor: bhuna flavor: chana flavor: namkeen, ,[]
brylcreem hairfall protect hair styling cream 75 g, fall protect stylin cream ,75 g,brylcreem,hair care,beauty personal care,type: cream flavor: cream, fall protect stylin ,"['fall', 'protect']"
on1y seasoning all purpose grinder 40g,on eaoning purpoe grinder 40g,1y s,all out,freshners repellents,home hygiene,,on eaoning purpoe grinder 40g,['grinder']
amul milk taaza tp 500ml, milk taaza tp ,500ml,amul,ice cream desserts,branded food,flavor: milk, taaza tp ,[]
waghbakri tea bag 200g,waghbakri bag ,200g,tata tea,tea coffee,beverages,type: bag,waghbakri ,[]
waghbakri bhuki tea 1kg,waghbakri bhuki ,1kg,tata tea,tea coffee,beverages,,waghbakri bhuki ,[]
amul stamina - lime n lemon sports drink 200ml, stamina - lime n lemon sports drink ,200ml,amul,soft drinks,beverages,flavor: lime flavor: lemon, stamina - n sports drink ,"['stamina', 'sports', 'drink']"
gh tal makhana 50g,gh tal makhana ,50g,taj mahal,tea coffee,beverages,,gh tal makhana ,['tal']
amul butter cooking bx 500g, butter cooking bx ,500g,amul,ice cream desserts,branded food,flavor: butter, cooking bx ,['cooking']
amul gulab jamun gift pack 2kg, gulab jamun gift pack ,2kg,amul,ice cream desserts,branded food,flavor: jamun flavor: gulab, gift pack ,"['gift', 'pack']"
cerelac babycereal mltgrn dal veg 300g, babycereal mltgrn dal veg ,300g,cerelac,chocolates cakes confectioneries,branded food,flavor: dal flavor: veg, babycereal mltgrn ,[]
cerelac wht rce mngdlvg khchd s2 8m 300g, wht rce mngdlvg khchd s2 8m ,300g,cerelac,oral care,beauty personal care,, wht rce mngdlvg khchd 2 8m ,[]
cherry liq polish black 75m, liq polish black 75m,,cherry,otc,beauty personal care,color: black, liq polish 75m,['polish']
cherry liq polish white cleaner 75ml, liq polish white cleaner ,75ml,cherry,home cleaning,home hygiene,color: white, liq polish cleaner ,"['polish', 'cleaner']"
gh lapsi dalia big 500g,gh lapsi dalia ,500g,big sams,otc,beauty personal care,flavor: dalia,gh lapsi ,[]
gh moong whole std 500g,gh moong whole std ,500g,,organic flours,grocery,flavor: moong,gh whole std ,"['whole', 'std']"
gh ginger garlic mix jr 75g,gh ginger garlic mix jr ,75g,,jams spreads honey,branded food,flavor: ginger flavor: garlic,gh mix jr ,['mix']
gh pow spice garam masala 100g,gh pow garam ,100g,old spice,masala spices,grocery,,gh pow garam ,"['pow', 'garam']"
gh soyabean 500g,gh soyabean ,500g,,chocolates cakes confectioneries,branded food,flavor: soyabean,gh ,[]
gh masoor desi 500g,gh masoor desi ,500g,,ready to eat,branded food,flavor: masoor,gh desi ,['desi']
lotte cookie chocotina thins 120g, cookie chocotina thins ,120g,lotte,chocolates cakes confectioneries,branded food,, cookie chocotina thin ,"['cookie', 'thin']"
shiv shakti fryum sabudana 200g,shiv fryum sabudana ,200g,shakti,toys,toys stationery,,hiv fryum abudana ,['hiv']
hart beat candy corazon mango pp 150g,hart beat candy corazon pp ,150g,three mango,chocolates cakes confectioneries,branded food,flavor: candy,hart beat corazon pp ,"['hart', 'beat', 'corazon']"
health1st cold press sesame oil bt 200ml,healtht cold press sesame bt 200ml,1s,,edible oil ghee,grocery,flavor: sesame,healtht cold press bt 200ml,"['cold', 'press']"
tong garden snk freshly roast party 500g, snk freshly roast party ,500g,tong garden,stationery,toys stationery,flavor: roast, snk freshly party ,"['freshly', 'party']"
all out ultr pwr plus floral ref bx 45ml, ultr pwr plus floral ref bx ,45ml,all out,freshners repellents,home hygiene,flavor: floral, ultr pwr plus ref bx ,"['pwr', 'plus', 'ref']"
