cleaned,quantity,final_brand,class1,class2
 sona masoori ,1kg,mother earth,rice wheat other grains,grocery
 jaggery candy jr ,200g,ektaa,chocolates cakes confectioneries,branded food
 moong pakora mix pp ,200g,desi atta company,baking dessert mixes,branded food
 diet chiwda namkeen ,150g,haldiram s,chips namkeens snacks,branded food
 juice litchi tetra pack ,1l,minute maid,fruit juices drinks,beverages
 juice guava tetra pack ,1l,minute maid,fruit juices drinks,beverages
 soap fresh moisture ,75g,dove,skin care,beauty personal care
gullian sea shell m,125g,chocolate,chocolates cakes confectioneries,branded food
 thalipeeth mix pp ,500g,desi atta company,masala spices,grocery
 shmp hr fl treatment ,340ml,dabur vatika,stationery,toys stationery
 ni namk aloo lacha ,100g,haldiram s,chips namkeens snacks,branded food
 readymix dhansak bx ,100g,badshah,toys,toys stationery
monginis cake swiss roll ,100g,chocolate,chocolates cakes confectioneries,branded food
 quah khu 700m,,haldiram s,chips namkeens snacks,branded food
 mazedaar kiey p,555g g,haldiram s,chips namkeens snacks,branded food
g baker chip m,300g,chocolate,chocolates cakes confectioneries,branded food
 pista khatai m,300 g,g bakers,chocolates cakes confectioneries,branded food
 crm anti wrinkle ,50g,himalaya,skin care,beauty personal care
 vanilla party pack,700 ml,kwality walls,ice cream desserts,branded food
 milk ice latte tp ,180ml,nescafe,tea coffee,beverages
 camphor bx ,50g,pratha,toys,toys stationery
 tmp bdy ltn intn noursh bt ,300ml,swiss tempelle,chocolates cakes confectioneries,branded food
sangis ktcn eggless mayonnaise pp ,800g,,jams spreads honey,branded food
 garam mla whole pp ,100g,sangi s kitchen,chocolates cakes confectioneries,branded food
 dw shower gel blkcrn&brb exdr 250m,,fiama di wills,skin care,beauty personal care
mapro fruity chew ,200g,chocolate,chocolates cakes confectioneries,branded food
 oth disp cfl tornado 20w,,philips,toys,toys stationery
 ipc tomato chilli ,59g,act ii,chips namkeens snacks,branded food
 cheese sprd classic ,180g,britannia,biscuits cookies crackers,branded food
orange imported,,mortein,tea coffee,beverages
bhindi,,heidi,chocolates cakes confectioneries,branded food
 herbal mehandi m,100g,patanjali,baby care,baby care
 aloevera orange juice ,1l,patanjali,fruit juices drinks,beverages
 instant ,50g,bru,tea coffee,beverages
loreal cond nourish scalp bt 175ml,6oil,,skin care,beauty personal care
 sanpad ultra nights xxxl wing ,3p,whisper,feminine care,beauty personal care
 tomato chutney ,470g,bhuira,sauces puree dips,branded food
 chicken&vegatable adult poly pack ,100g,pedigree,pet care,home hygiene
 food chk in jelly ,400g,pedigree,pet care,home hygiene
 food gravy style ,100g,pedigree,pet care,home hygiene
 fw powerwhite dbl action men ,50g,garnier,skin care,beauty personal care
dermicool talc lavender ,150g,,stationery,toys stationery
 cooker vanilla cake mx bx ,175g,weikfield,chocolates cakes confectioneries,branded food
mishrambhu liq conc ros 700m,,sharbat e shahi,otc,beauty personal care
 cooker choco cake mix bx ,175g,weikfield,baking dessert mixes,branded food
 juice guava gush tp ,200ml,b natural,fruit juices drinks,beverages
 juice mojito bt ,750ml,sunkist,fruit juices drinks,beverages
 dessertmix jelly orange ,90g,weikfield,tea coffee,beverages
ttrt nachos creamy cheese & herbs pp ,60g,,chips namkeens snacks,branded food
 sportz fitness deo - bounce ,125ml,eva,deos perfumes,beauty personal care
ttrt surprises p,945g g,namkeen tree,chocolates cakes confectioneries,branded food
j&j oil vitamin e ,100ml,baby,baby care,baby care
orbit gum sweetmint ,8.8g,sugar free,salt sugar jaggery,grocery
 roasted sooji rava pp ,500g,desi atta company,dry fruits,grocery
 tpaste active salt neem bx ,100g,colgate,oral care,beauty personal care
 inner glow gentle exfoliating face wash cleanser ,50 ml,dove,skin care,beauty personal care
 readymix pani puri bx ,50g,badshah,chips namkeens snacks,branded food
monginis cake veg pp ,100g,chocolate,chocolates cakes confectioneries,branded food
" cooker cake mix, vanilla ",100g,weikfield,baking dessert mixes,branded food
 mixed fruit jam ,670g,sunkist,jams spreads honey,branded food
 juice punja da kinnow ,1l,b natural,fruit juices drinks,beverages
 oats chinese chili ,40g,kosh,breakfast cereals,branded food
bellie flavoured cream sandwich cream biscuit ,190g,chocolate,biscuits cookies crackers,branded food
 falooda mango ,200g,weikfield,fun drink mix,beverages
 special chyawanprash ,500g,patanjali,ready to fry,branded food
 chocos ,250g,patanjali,breakfast cereals,branded food
nilons cut pickle ,300g,three mango,pickles chutneys,branded food
nilons pickle ,200g,three mango,pickles chutneys,branded food
 dahi ,200 ml,prabhat,chocolates cakes confectioneries,branded food
potato ,,soo fresh,chips namkeens snacks,branded food
apple fuzi,,appy fizz,mineral water soda,beverages
pomegranate,,the grannary,chocolates cakes confectioneries,branded food
bottle gourd,,gud egg,sauces puree dips,branded food
mint,,smint,chocolates cakes confectioneries,branded food
cholai,,choki choki,toys,toys stationery
baa raw,,ram bandhu,chips namkeens snacks,branded food
sarson sag,,sagar,toys,toys stationery
ttrt snk supreme pizza pp ,1p,frozen,frozen veg,branded food
 popcorn sea salt & pepper pp ,35g,tasty treat,frozen veg,branded food
 namk boondi pp ,200g,tasty treat,masala spices,grocery
 bhuna chana namkeen ,200g,tasty treat,frozen veg,branded food
 fall protect stylin cream ,75 g,brylcreem,hair care,beauty personal care
on eaoning purpoe grinder 40g,1y s,all out,freshners repellents,home hygiene
 milk taaza tp ,500ml,amul,ice cream desserts,branded food
waghbakri bag ,200g,tata tea,tea coffee,beverages
waghbakri bhuki ,1kg,tata tea,tea coffee,beverages
 stamina - lime n lemon sports drink ,200ml,amul,soft drinks,beverages
gh tal makhana ,50g,taj mahal,tea coffee,beverages
 butter cooking bx ,500g,amul,ice cream desserts,branded food
 gulab jamun gift pack ,2kg,amul,ice cream desserts,branded food
 babycereal mltgrn dal veg ,300g,cerelac,chocolates cakes confectioneries,branded food
 wht rce mngdlvg khchd s2 8m ,300g,cerelac,oral care,beauty personal care
 liq polish black 75m,,cherry,otc,beauty personal care
 liq polish white cleaner ,75ml,cherry,home cleaning,home hygiene
gh lapsi dalia ,500g,big sams,otc,beauty personal care
gh moong whole std ,500g,,organic flours,grocery
gh ginger garlic mix jr ,75g,,jams spreads honey,branded food
gh pow garam ,100g,old spice,masala spices,grocery
gh soyabean ,500g,,chocolates cakes confectioneries,branded food
gh masoor desi ,500g,,ready to eat,branded food
 cookie chocotina thins ,120g,lotte,chocolates cakes confectioneries,branded food
shiv fryum sabudana ,200g,shakti,toys,toys stationery
hart beat candy corazon pp ,150g,three mango,chocolates cakes confectioneries,branded food
healtht cold press sesame bt 200ml,1s,,edible oil ghee,grocery
 snk freshly roast party ,500g,tong garden,stationery,toys stationery
 ultr pwr plus floral ref bx ,45ml,all out,freshners repellents,home hygiene
 glucose d orange + ,1 500g,rasna,chocolates cakes confectioneries,branded food
 powdered concentrate rose shakeup ,250g,rasna,chocolates cakes confectioneries,branded food
abbies vinegr white distilled bt ,473ml,mr.white,toys,toys stationery
 liq conc mojito mint bt ,250ml,monin,chocolates cakes confectioneries,branded food
 mango ,700ml,monin,fun drink mix,beverages
lindt choco swiss prem br ,300g,chocolate,chocolates cakes confectioneries,branded food
 show gel men sensitive ,250ml,palmolive,skin care,beauty personal care
 nimbooz masala soda 500ml,7 up,7 up,breakfast cereals,branded food
 pop spicy drink ,250 ml,bisleri,fruit juices drinks,beverages
 olive extra light bt ,5l,karmiq,edible oil ghee,grocery
 milk chocolate with hazelnut ,100g,delaviuda,chocolates cakes confectioneries,branded food
 thirty day pack almond pp ,300g,karmiq,chocolates cakes confectioneries,branded food
fun salsa dip ,300g,hr foods,dry fruits,grocery
 frt juice masala guava tp ,1l,real,fruit juices drinks,beverages
 nail enamel bling it on ,9ml,ts,home cleaning,home hygiene
nilons ginger + 00g,1 100g,,cooking paste,grocery
 garlic bruschetta ,100g,baker street,sauces puree dips,branded food
 cheese & garlic khari munchies ,150g,baker street,chips namkeens snacks,branded food
 aloevera juice fibre orange ,1l,patanjali,fruit juices drinks,beverages
nilons gorkeri pickle ,1kg,,pickles chutneys,branded food
nilons garlic papad ,160g,,ready to fry,branded food
 cheese nat cheder ,200g,britannia,biscuits cookies crackers,branded food
 jam mix fruit ,100g,mapro,jams spreads honey,branded food
 wc mng shake tp ,180ml,britannia,biscuits cookies crackers,branded food
 chicken barbeque sausages ,250g,zorabian,ready to eat,branded food
 bodywash absolute relax ,750ml,palmolive,skin care,beauty personal care
 shining powder pp ,200g,pitambari,masala spices,grocery
 froz snack smiles ,175g,mccain,frozen veg,branded food
 paneer m,200g,vita,ready to eat,branded food
 microfiber multipurpose cloth,,prim,cleaning accessories,home hygiene
 winter intense maximum moisturiser ,60 ml,lakme,skin care,beauty personal care
"lakme lip love lip , , ",3.8 g,cherry,skin care,beauty personal care
 sczwn chilli garlic sauce ,100g,wingreens,sauces puree dips,branded food
kw magnum brownie ,90ml,,toys,toys stationery
 face wipes sunscn plm&aloevera ,10p,kara,skin care,beauty personal care
 strawberry & cream mint oil hand wash ,200 ml,lux,personal hygiene,beauty personal care
dilmah bag ,25 pcs,premium,tea coffee,beverages
 liq refill super hts,90 nig,all out,freshners repellents,home hygiene
 papad aloo ,75g,mother s recipe,ready to fry,branded food
 ultra stainless 5 h c,,laser,men toiletries,beauty personal care
 tortilla nachos jalapeno ,150g,salsalito,chips namkeens snacks,branded food
liberty palmolein pp ,1l,everyday,edible oil ghee,grocery
org rajma chitra pp ,500g,organic tattva,organic pulses,grocery
 sunflower pp ,1l,nature fresh,edible oil ghee,grocery
 macaroni elbow mix ,430g,mtr,ready to eat,branded food
" herbals soa, almond and rose, ack of 4 ",125g p,himalaya,hair care,beauty personal care
munchys plain biscuit vege cracker original ,300g,,biscuits cookies crackers,branded food
 urad chilka ,500g,mother earth,chips namkeens snacks,branded food
 masoor whole ,500g,mother earth,masala spices,grocery
mapro toppings syrup bt ,200ml,chocolate,chocolates cakes confectioneries,branded food
 cheese ceka ,400g,britannia,biscuits cookies crackers,branded food
 day wonderfulls berriesnut,,good look,freshners repellents,home hygiene
 pure magic deuce milk choco ,60g,britannia,chocolates cakes confectioneries,branded food
 choco dairy milk ,6.3g,cadbury,chocolates cakes confectioneries,branded food
 claique date ,500g,nature s choice,mineral water soda,beverages
 vita mariegold biscuit ,300g,britannia,biscuits cookies crackers,branded food
 ipc butter delite 70g,50g,act ii,chips namkeens snacks,branded food
 h&e etreame butter pp ,70g,act ii,chips namkeens snacks,branded food
chicken sausages ,300g,venkys,ready to eat,branded food
pooof peri peri flavoured potato kettle ,65g,pooof!,chips namkeens snacks,branded food
 back scrubber poly pack,,body line,skin care,beauty personal care
 thick mota poha pp ,500g,rajdhani,chocolates cakes confectioneries,branded food
-steam koam rice,,l oreal paris,noodles pastas vermicelli,branded food
parsley,,parle,biscuits cookies crackers,branded food
 ice peach flavour ,350ml,lipton,tea coffee,beverages
 non snck chi gar fin ,400g,yummiez,frozen veg,branded food
 frz snck cheese finger ,400g,yummiez,frozen veg,branded food
dr farm fresh pk of 6,,dr. kansals,freshners repellents,home hygiene
 shmp ub royal jelly&lvnd bt 175m,,garnier,skin care,beauty personal care
loreal hrclr 5 nat ,,brown & polson,chocolates cakes confectioneries,branded food
 readymix kitchen king msl bx ,50g,aachi,masala spices,grocery
 readymix rasam pp ,100g,aachi,masala spices,grocery
 hajmola anar dana 120tb,,dabur,otc,beauty personal care
 fc ws blkhed uprootng scrb ,100g,garnier,skin care,beauty personal care
loreal shmp exp colour protect 175m,,hair & care,hair care,beauty personal care
 fall solution shampoo ,180 ml,sunsilk,hair care,beauty personal care
horlicks growth jar ,400g,chocolate,health drinks,beverages
crmt nakin * ly 50 ,22 1 p,paper boat,fruit juices drinks,beverages
 mad angles achari masti wafers ,90g,bingo,chips namkeens snacks,branded food
crmt cup 20p,300ml,paper boat,fruit juices drinks,beverages
nutrela table spread bx ,100g,premium,jams spreads honey,branded food
gh surti kolam rice pp ,1kg,,frozen veg,branded food
 ivory cst sngl org dark clt bx ,125g,amul,ice cream desserts,branded food
 cow bt ,200ml,grb,edible oil ghee,grocery
 premix masala bx ,140g,society,tea coffee,beverages
 multigrain kokos pp ,350g,nesplus,breakfast cereals,branded food
 pickle green chilli poly pack ,200g,pravin,pickles chutneys,branded food
 deo copper bx ,120ml,wild stone,deos perfumes,beauty personal care
 deo code platinum bx ,120ml,wild stone,deos perfumes,beauty personal care
 deo aqua fresh 150m,,wild stone,deos perfumes,beauty personal care
 papad special masala small ,200g,dnv,ready to fry,branded food
 pasta craft elbow pp ,1kg,del monte,noodles pastas vermicelli,branded food
 gf pista coconut cookie pp ,200g,wheafree,chocolates cakes confectioneries,branded food
 soap ultra sensusal ,125g,wild stone,skin care,beauty personal care
crmt plain lami pp med round 25n19.5cm,,,cleaning accessories,home hygiene
 pickle chilli jr ,350g,ram bandhu,pickles chutneys,branded food
 o hyderabadi chick biryani ,80g,kitchens of india,chips namkeens snacks,branded food
crmt dlx toilet roll y 4*00p,3 pl,,home cleaning,home hygiene
 sweet lasi pp ,400ml,verka,ready to eat,branded food
 ndl vegeterian curry flavour pp ,85g,koka,noodles pastas vermicelli,branded food
baskin robin icecream ,900ml,chocolate,chocolates cakes confectioneries,branded food
 tetley bag elaichi ,12pcs,tata tea,tea coffee,beverages
 pastry cake bx ,4*25g,pillsbury,baking dessert mixes,branded food
 mnhy +chatx 120g+pnch 120g op,140g,bikano,chips namkeens snacks,branded food
 ftb lemon ,25 s,tetley,tea coffee,beverages
ambipur air vanilla&spice ,275g,soo fresh,freshners repellents,home hygiene
 infant nan 1 bx ,400g,nestle,baby food,baby care
nestle kitkat ,12.5g,chocolate,chocolates cakes confectioneries,branded food
 lip strawberry shine ,4.8g,nivea,skin care,beauty personal care
 liq ref insta 5 refill bx ,3*35ml,mortein,toys,toys stationery
nilons sweet tutti fruity ,150g,,jams spreads honey,branded food
 melba toast regular ,100g,baker street,toys,toys stationery
 khari ,150g,baker street,masala spices,grocery
nilons lime squash ,700ml,,fun drink mix,beverages
nilons classic mixed pickle ,5kg,,pickles chutneys,branded food
nilons potato papad ,70g,,chips namkeens snacks,branded food
 aarogya mustard bt ,1l,patanjali,edible oil ghee,grocery
 arjun aa juice ,500 ml,patanjali,fruit juices drinks,beverages
 apple murabba ,1kg,patanjali,fruit juices drinks,beverages
 special urad wadiyan ,200g,bhape,ready to fry,branded food
 toothbrush slim soft ,1p,colgate,oral care,beauty personal care
 oxygen moisture conditioner ,80 ml,dove,hair care,beauty personal care
 pow spice dry mango bx ,50g,badshah,soft drinks,beverages
kelloggs cf ksr pista badam bx ,280g,real,chocolates cakes confectioneries,branded food
 inst pasta pazzta tomato twist ,64g,maggi,noodles pastas vermicelli,branded food
