cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 bread atta,,english oven,baking dessert mixes,branded food,bread, atta,['atta']
 bread atta bun ,200g,english oven,chocolates cakes confectioneries,branded food,bread, atta bun ,"['atta', 'bun']"
 vanaspati pp ,1l,gemini,toys,toys stationery,vanaspati, pp ,[]
 battery red 1015 aa bp2,,eveready,otc,beauty personal care,red, battery 1015 aa bp2,"['battery', '1015']"
 pineapple poise juice ,200ml,b natural,fruit juices drinks,beverages,pineapple juice, poise ,['poise']
 juice citrus twist pet bottle ,300ml,sunkist,fruit juices drinks,beverages,citrus juice, twist pet bottle ,"['twist', 'pet', 'bottle']"
 juice berry punch pet bottle ,300ml,sunkist,fruit juices drinks,beverages,berry juice, punch pet bottle ,"['punch', 'pet', 'bottle']"
 oats lively lemon ,40g,kosh,breakfast cereals,branded food,oats lemon, lively ,['lively']
 crackers ,300g,bellie,salt sugar jaggery,grocery,, crackers ,['crackers']
 lemon flavoured cream sandwich cream biscuit ,190g,bellie,biscuits cookies crackers,branded food,cream sandwich lemon, flavoured biscuit ,"['flavoured', 'biscuit']"
 le integrali penne rigate pasta ,500g,agnesi,noodles pastas vermicelli,branded food,penne pasta, le integrali rigate ,[]
 kachi ghani mustard pp ,1l,krishna,edible oil ghee,grocery,mustard, kachi ghani pp ,['ghani']
 urad dal pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,dal urad, pp ,[]
 rice idli mix pp ,200g,desi atta company,breakfast cereals,branded food,rice idli, mix pp ,['mix']
j & j earbud ,150p,,chocolates cakes confectioneries,branded food,,j & j earbud ,[]
 rejuvenated volume shampoo ,240 ml,dove,hair care,beauty personal care,, rejuvenated volume shampoo ,"['rejuvenated', 'volume', 'shampoo']"
 body ltn go fresh normal ,250ml,dove,skin care,beauty personal care,, body ltn go fresh normal ,"['body', 'fresh', 'normal']"
 candy stick apple poly pack ,40g,sourpunk,chocolates cakes confectioneries,branded food,apple candy, stick poly pack ,"['stick', 'poly', 'pack']"
 3 min poha bx ,230g,mtr,ready to eat,branded food,poha, 3 min bx ,['min']
mcvities * 100g,75g,fruit,biscuits cookies crackers,branded food,,mcvities * 100g,['mcvities']
g brownie cookies m,300g,baker street,chocolates cakes confectioneries,branded food,cookies,g brownie m,['brownie']
 bread - arlic m,400 g,g bakers,otc,beauty personal care,bread, - arlic m,[]
""" pizza base 6"""" m""",240 g,g bakers,otc,beauty personal care,pizza,""" base 6"""" m""",['base']
 cosmectic lip balm ,10g,himalaya,skin care,beauty personal care,, cosmectic lip balm ,"['lip', 'balm']"
waffy rolls ,,chocolate,chocolates cakes confectioneries,branded food,,waffy rolls ,['rolls']
wafer biscuit waffy cheese,,,biscuits cookies crackers,branded food,cheese,wafer biscuit waffy ,"['wafer', 'biscuit']"
dukes soda club bt ,750ml,,biscuits cookies crackers,branded food,,dukes soda club bt ,"['dukes', 'soda', 'club']"
ph rajma sharmili pp ,500g,,toys,toys stationery,rajma,ph sharmili pp ,[]
 hw black orchid&milk bt ,500ml,palmolive,skin care,beauty personal care,black, hw orchid&milk bt ,[]
 cheese feta greek ,200g,dodoni,chips namkeens snacks,branded food,cheese feta, greek ,['greek']
 black pepper pp ,100g,sangi s kitchen,masala spices,grocery,pepper black, pp ,[]
 men duo active frsh bx ,100ml,nivea,deos perfumes,beauty personal care,, men duo active frsh bx ,"['men', 'duo', 'active']"
 bread white,,harvest gold,tea coffee,beverages,bread white, ,[]
 hide & seek black bourbon choco pp ,100g,parle,biscuits cookies crackers,branded food,choco black, hide & seek bourbon pp ,"['hide', 'seek', 'bourbon']"
hide & seek black bourbon vanilla ,100g,parle,biscuits cookies crackers,branded food,vanilla black,hide & seek bourbon ,"['hide', 'seek', 'bourbon']"
 slt bisc monaco zeera ,75.4g,parle,biscuits cookies crackers,branded food,, slt bisc monaco zeera ,"['slt', 'monaco']"
 soap mogra br ,75g,patanjali,skin care,beauty personal care,, soap mogra br ,['soap']
 instant jar ,50g,bru,tea coffee,beverages,, instant jar ,"['instant', 'jar']"
nilons pickle + tomato ketchup 200g,500g,three mango,pickles chutneys,branded food,ketchup pickle tomato,nilons + 200g,[]
nilons karela pickle ,400g,,pickles chutneys,branded food,pickle karela,nilons ,[]
 chicken pepper sausages pp ,250g,zorabian,masala spices,grocery,pepper chicken, sausages pp ,['sausages']
bkr str bread tost bruscheta reg pp ,100g,,toys,toys stationery,bread,bkr str tost bruscheta reg pp ,"['bkr', 'str', 'reg']"
 nourish&replen conditoner ,85ml,tresemme,hair care,beauty personal care,, nourish&replen conditoner ,[]
 ctc tulsi ginger ,100g,organic india,tea coffee,beverages,ginger, ctc tulsi ,['ctc']
head & sho shmp blast men bt ,170ml,dermi cool,skin care,beauty personal care,,head & sho shmp blast men bt ,"['head', 'sho', 'blast', 'men']"
tengra whole,,engage,deos perfumes,beauty personal care,,tengra whole,['whole']
locart,,loacker,chocolates cakes confectioneries,branded food,,locart,[]
 gold bundle ,6*100g,toblerone,chocolates cakes confectioneries,branded food,, gold bundle ,"['gold', 'bundle']"
 pineapple jam ,340g,hartley s,jams spreads honey,branded food,pineapple, jam ,['jam']
 bread white,,sofresh,mineral water soda,beverages,bread white, ,[]
 white distilled vinegar ,472ml,american garden,jams spreads honey,branded food,vinegar white, distilled ,['distilled']
kelloggs cornflakes chocos moon & stars ,26g,,breakfast cereals,branded food,,kelloggs cornflakes chocos moon & stars ,"['kelloggs', 'cornflakes', 'moon', 'stars']"
 fw fair&handsome instant tube ,50g,emami,stationery,toys stationery,, fw fair&handsome instant tube ,"['instant', 'tube']"
 fatafat bhel ,150g,haldiram s,chips namkeens snacks,branded food,bhel, fatafat ,[]
kellogs cornflake choco duet ,125g,,chocolates cakes confectioneries,branded food,cornflake choco,kellogs duet ,['duet']
 masur dal pp ,200g,desi atta company,chocolates cakes confectioneries,branded food,masur dal, pp ,[]
 paan raisin ,110g,sattviko,chips namkeens snacks,branded food,raisin, paan ,['paan']
 pow spice turmeric pp ,500g,aashirvaad,masala spices,grocery,turmeric, pow spice pp ,"['pow', 'spice']"
 pow spice white pepper bx ,100g,badshah,masala spices,grocery,pepper white, pow spice bx ,"['pow', 'spice']"
crmt party disposable astd ,6p,,stationery,toys stationery,,crmt party disposable astd ,"['party', 'disposable']"
 pickle lime jr ,350g,ram bandhu,pickles chutneys,branded food,lime pickle, jr ,[]
 pickle sweet lime jr ,350g,ram bandhu,pickles chutneys,branded food,lime pickle, sweet jr ,['sweet']
 body wash sports bt ,300ml,think skin,skin care,beauty personal care,, body wash sports bt ,"['body', 'wash', 'sports']"
 o mutton kolhapuri msl mix ,80g,kitchens of india,baking dessert mixes,branded food,mutton, o kolhapuri msl mix ,"['msl', 'mix']"
 o chutney papaya raisin ,300g,kitchens of india,jams spreads honey,branded food,papaya raisin chutney, o ,[]
 chicken tandoori nuggets ,400g,yummiez,ready to eat,branded food,chicken tandoori, nuggets ,['nuggets']
 snk chatpata masala corn pp ,500g,yummiez,frozen veg,branded food,corn, snk chatpata masala pp ,['masala']
 digestive liquid 30m,,dabur pudin hara,otc,beauty personal care,, digestive liquid 30m,"['digestive', 'liquid']"
 paushti milk ,1l,prabhat,chocolates cakes confectioneries,branded food,milk, paushti ,[]
 pow spice turmeric pp ,100g,aashirvaad,masala spices,grocery,turmeric, pow spice pp ,"['pow', 'spice']"
 flavoritz lemon corndr tn ,100g,tata,salt sugar jaggery,grocery,lemon, flavoritz corndr tn ,[]
b microfiber crubby wipe,,sangi s kitchen,otc,beauty personal care,microfiber,b crubby wipe,['wipe']
l-basmati rice ,,everyday,organic grains,grocery,rice,l-basmati ,[]
 mukhwas rajasthani saunf ,100g,mera swad,toys,toys stationery,, mukhwas rajasthani saunf ,[]
 namkeen moments p,825g g,tasty treat,frozen veg,branded food,namkeen, moments p,['moments']
 room fresh floral protection ,320ml,glade,freshners repellents,home hygiene,floral, room fresh protection ,"['room', 'fresh', 'protection']"
 barbecue potato crisps ,110g,jacker,chips namkeens snacks,branded food,potato, barbecue crisps ,"['barbecue', 'crisps']"
ttrt soup man chow ,39g,,ready to eat,branded food,soup,ttrt man chow ,"['man', 'chow']"
 clmb single origin dark clt bx ,125g,amul,ice cream desserts,branded food,dark, clmb single origin clt bx ,"['single', 'origin']"
 cheese spread oregano pickle cp ,200g,amul,pickles chutneys,branded food,cheese oregano pickle, spread cp ,['spread']
gh navratna dal kit ,195g,rr,stationery,toys stationery,dal,gh navratna kit ,['kit']
gh matta boiled pp ,1kg,red bull,rice wheat other grains,grocery,,gh matta boiled pp ,"['matta', 'boiled']"
 lov face wash multivitamin ,20g,fair & lovely,skin care,beauty personal care,, lov face wash multivitamin ,"['lov', 'face', 'wash', 'multivitamin']"
 nail cliper med,,easy maxx,chips namkeens snacks,branded food,, nail cliper med,"['nail', 'med']"
 max cotton rolls m,35 g,easy maxx,otc,beauty personal care,cotton, max rolls m,"['max', 'rolls']"
 advanced multi vitamin face cream ,9 g,fair & lovely,skin care,beauty personal care,cream, advanced multi vitamin face ,"['advanced', 'multi', 'vitamin', 'face']"
 juice pomegranate bt ,1l,raw pressery,fruit juices drinks,beverages,juice pomegranate, bt ,[]
 nail enamel now n then ,9ml,ts,toys,toys stationery,, nail enamel now n then ,"['nail', 'enamel']"
 etter mixed miet bx 500g,24 l,24 mantra,organic grains,grocery,, etter mixed miet bx 500g,['mixed']
nilons ginger garlic 1+ 00g,2 200g,,cooking paste,grocery,garlic ginger,nilons 1+ 00g,[]
nilons non veg curry paste ,40g,,masala spices,grocery,veg curry,nilons non paste ,"['non', 'paste']"
nilons veg curry paste ,40g,,masala spices,grocery,veg curry,nilons paste ,['paste']
lays assorted wafers + 52g,2*95g,,chocolates cakes confectioneries,branded food,,lays assorted wafers + 52g,"['lays', 'assorted', 'wafers']"
 garlic bread sticks ,100g,baker street,sauces puree dips,branded food,bread garlic, sticks ,['sticks']
 herbal power vita jar ,500g,patanjali,skin care,beauty personal care,, herbal power vita jar ,"['herbal', 'power', 'vita', 'jar']"
nilons panna ,700ml,three mango,pickles chutneys,branded food,,nilons panna ,['panna']
nilons vermi thin & rosted sewaiyan ,110g,,toys,toys stationery,,nilons vermi thin & rosted sewaiyan ,['thin']
nilons khana khazana pickle ,500g,three mango,pickles chutneys,branded food,pickle,nilons khana khazana ,[]
 uten liq advanced lime green ,500ml,pril,utensil cleaners,home hygiene,green lime, uten liq advanced ,['advanced']
 florida orange concentrate ,125g,rasna,fruit juices drinks,beverages,orange, florida concentrate ,"['florida', 'concentrate']"
 deo ice dive body spry 150m,,adidas,deos perfumes,beauty personal care,, deo ice dive body spry 150m,"['deo', 'ice', 'dive', 'body', 'spry']"
 men pollution out face wah ,50 g,pond s,skin care,beauty personal care,, men pollution out face wah ,"['men', 'pollution', 'face', 'wah']"
so khari jeera ,200g,soo fresh,fun drink mix,beverages,jeera,so khari ,[]
 samosa cheese jalapeno pp ,240g,mccain,frozen veg,branded food,cheese samosa jalapeno, pp ,[]
 anti cavity toothpaste ,150g,lever ayush,oral care,beauty personal care,, anti cavity toothpaste ,"['anti', 'cavity', 'toothpaste']"
gm meethi chatni bx ,100g,food bazaar,masala spices,grocery,,gm meethi chatni bx ,[]
 shoe shine sponge black bx 1n,,prim,baby care,baby care,shoe black, shine sponge bx 1n,"['shine', 'sponge']"
gm bedmi special puri atta pp ,1kg,food bazaar,masala spices,grocery,puri,gm bedmi special atta pp ,"['special', 'atta']"
 readymix mutton ,100g,sakthi,masala spices,grocery,mutton, readymix ,[]
 rich chocolate cake mix ,150g,pillsbury,baking dessert mixes,branded food,chocolate, rich cake mix ,"['rich', 'cake', 'mix']"
cadbury dairy milk silk roast almond ,137g,chocolate,chocolates cakes confectioneries,branded food,almond roast dairy milk silk,cadbury ,['cadbury']
 bournvita crunchy chocolaty cookies ,46.5g,cadbury,chocolates cakes confectioneries,branded food,cookies chocolaty crunchy, bournvita ,[]
ambipur car start kit vanila boq+ref ,7ml,,freshners repellents,home hygiene,,ambipur car start kit vanila boq+ref ,"['car', 'start', 'kit']"
 soap coconut&olive oils pp ,150g,rexona,skin care,beauty personal care,, soap coconut&olive oils pp ,"['soap', 'oils']"
 choco choclairs gold ,142.5g,cadbury,chocolates cakes confectioneries,branded food,choco, choclairs gold ,['gold']
 clt fruit & nut snack bar pp ,30g,unibic,biscuits cookies crackers,branded food,fruit, clt & nut snack bar pp ,"['nut', 'snack', 'bar']"
 cookie fruit & nut pp ,75g,unibic,biscuits cookies crackers,branded food,fruit, cookie & nut pp ,"['cookie', 'nut']"
 namkeen hot n spicy mixture ,180g,parle,chips namkeens snacks,branded food,spicy namkeen, hot n mixture ,"['hot', 'mixture']"
 conditioner almond ,100g,patanjali,hair care,beauty personal care,almond, conditioner ,['conditioner']
 strawberry cream biscuit ,50g,hello panda,biscuits cookies crackers,branded food,strawberry cream, biscuit ,['biscuit']
 shmp keshkanti aloever bt 200m,,patanjali,toys,toys stationery,, shmp keshkanti aloever bt 200m,[]
 apple chutney ,500g,patanjali,fruit juices drinks,beverages,apple chutney, ,[]
 khana khazna mango pickle ,1kg,nilon s,pickles chutneys,branded food,pickle mango, khana khazna ,[]
 aloevera moisturizing crem ,50g,patanjali,skin care,beauty personal care,, aloevera moisturizing crem ,['crem']
 body cleanser almond kesar ,75g,patanjali,skin care,beauty personal care,almond kesar, body cleanser ,"['body', 'cleanser']"
 namk bhujia m 400g,350g,haldiram s,chips namkeens snacks,branded food,, namk bhujia m 400g,[]
kelloggs mueseli extra no box ,500g,sugar free,salt sugar jaggery,grocery,,kelloggs mueseli extra no box ,"['kelloggs', 'extra', 'box']"
 choco pp ,58g,kellogg s,breakfast cereals,branded food,choco, pp ,[]
 choc dark 7 ,2 100g,guylian,toys,toys stationery,dark, choc 7 ,['choc']
 sabudana pp ,200g,desi atta company,ready to eat,branded food,, sabudana pp ,[]
aer ner car lush green bx ,10g,soo fresh,freshners repellents,home hygiene,green,aer ner car lush bx ,"['aer', 'ner', 'car', 'lush']"
 soap la fantassia ,3*125g,fiama di wills,skin care,beauty personal care,, soap la fantassia ,['soap']
bagrrys muesli apple bx ,500g,,breakfast cereals,branded food,apple muesli,bagrrys bx ,[]
 lip soft rose shine ,4.8g,nivea,skin care,beauty personal care,, lip soft rose shine ,"['lip', 'soft', 'rose', 'shine']"
 mouthwash coolmint ,500ml,listerine,oral care,beauty personal care,, mouthwash coolmint ,['mouthwash']
 m deo urge 150m,,kamasutra,freshners repellents,home hygiene,, m deo urge 150m,"['deo', 'urge']"
diet can ,250ml,pepsi,soft drinks,beverages,,diet can ,['diet']
 cheese spread m bottle,200 g,go,sauces puree dips,branded food,cheese, spread m bottle,"['spread', 'bottle']"
,,la americana,chocolates cakes confectioneries,branded food,,,[]
 readymix chatpat bx ,50g,catch,masala spices,grocery,, readymix chatpat bx ,[]
crmt handwash sandal pp ,900ml,,personal hygiene,beauty personal care,sandal,crmt handwash pp ,[]
 o chutney mango garlic ,300g,kitchens of india,jams spreads honey,branded food,garlic mango chutney, o ,[]
 readymix dal makhani ,100g,mdh,masala spices,grocery,makhani dal, readymix ,[]
 cube special bx ,500g,trust,salt sugar jaggery,grocery,, cube special bx ,"['cube', 'special']"
 choco chip ,,lovely bakery,biscuits cookies crackers,branded food,choco, chip ,['chip']
 masala atta ,280g,top ramen,noodles pastas vermicelli,branded food,, masala atta ,"['masala', 'atta']"
 agrbti mutha tarpan wt lotus ,200g,pratha,deos perfumes,beauty personal care,, agrbti mutha tarpan wt lotus ,['lotus']
 color changing hand wash ,185 ml,lifebuoy,personal hygiene,beauty personal care,color, changing hand wash ,"['changing', 'hand', 'wash']"
 wonder pants diapers extra large ,16 pcs,huggies,baby care,baby care,pants diapers, wonder extra large ,"['wonder', 'extra', 'large']"
 cheese philadelphia ,200g,kraft,baking dessert mixes,branded food,cheese, philadelphia ,['philadelphia']
 t tetra,1l,gopaljee ananda,edible oil ghee,grocery,, t tetra,['tetra']
 maida pp ,500g,rajdhani,chips namkeens snacks,branded food,maida, pp ,[]
hakka mix,,hamam,noodles pastas vermicelli,branded food,,hakka mix,['mix']
black pomfret,,comfort,laundry,home hygiene,pomfret black, ,[]
l sella ,,golden harvest,rice wheat other grains,grocery,,l sella ,['sella']
ambipur air rose & blossom ,275g,soo fresh,freshners repellents,home hygiene,,ambipur air rose & blossom ,"['air', 'rose', 'blossom']"
 tetley grn long leaf ,250g,tata tea,tea coffee,beverages,leaf, tetley grn long ,"['tetley', 'long']"
 cakemix cookr gldn vanila ,159g,pillsbury,baking dessert mixes,branded food,, cakemix cookr gldn vanila ,[]
 mukhwas pan gulkand ,150g,mera swad,toys,toys stationery,, mukhwas pan gulkand ,['pan']
 cheese spread ,200g,mother dairy,pickles chutneys,branded food,cheese, spread ,['spread']
 tadka chach cup ,200ml,mother dairy,ice cream desserts,branded food,tadka, chach cup ,['cup']
 goldn bytes butter cks pp ,250g,cremica,otc,beauty personal care,butter, goldn bytes cks pp ,['bytes']
mother dry milk 180m,,chocolate,chocolates cakes confectioneries,branded food,milk,mother dry 180m,"['mother', 'dry']"
 moti toned milk ,200ml,amul,ice cream desserts,branded food,milk, moti toned ,['toned']
 kool strawberry shake ,180ml,amul,ice cream desserts,branded food,strawberry, kool shake ,['shake']
